HeaderID,AppNo,AbattoirName,AnimalSource,SpeciesCategory,Species,HerdMark,InspectionDate,ArrivalDate,SlaughterFromDate,SlaughterToDate,AnimalsReported,AnimalsPresented,AnimalsSlaughtered,Status,StatusDate,Poultry_House,Poultry_NoInHouse,Poultry_ProductionSystem,Broiler_StockingDensity,Broiler_Breed,Broiler_Line,Poultry_Age,Poultry_HouseMortality,Poultry_CumulativeMortality,Condition,InspectionType,AmountDescription,Amount,Comments
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Machine Damage,Conditions,Whole,2,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Emaciation,Conditions,Whole,5,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Abnormal colour/fevered,Conditions,Whole,6,
6785,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689271,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5544,5544,5527,Complete,15/02/2016 05:10,6,7200,Free Range,Not provided,Hubbard,Not Provided,56,,2.22,Cellulitis,Conditions,Whole,7,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Bruising/Fractures,Conditions,Whole,1,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Joint Lesions,Conditions,Whole,1,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Machine Damage,Conditions,Whole,1,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Cellulitis,Conditions,Whole,2,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Perihepatitis/peritonitis,Conditions,Whole,2,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Abnormal colour/fevered,Conditions,Whole,3,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,3,
6787,5011,2 SISTERS FOOD GROUP LTD,Producer: 05/337/0015 Bluntisham,Poultry,Broilers,689272,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5040,5040,5031,Complete,15/02/2016 05:12,"4, 6",,Free Range,Not provided,Hubbard,Not Provided,,,0,Emaciation,Conditions,Whole,9,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Dermatitis,Conditions,Whole,1,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Joint Lesions,Conditions,Whole,1,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Bruising/Fractures,Conditions,Whole,2,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Cellulitis,Conditions,Whole,2,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,2,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Machine Damage,Conditions,Whole,2,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Emaciation,Conditions,Whole,10,
6789,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689269,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,4952,Complete,15/02/2016 07:14,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Abnormal colour/fevered,Conditions,Whole,25,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Machine Damage,Conditions,Whole,2,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,3,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Emaciation,Conditions,Whole,8,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Perihepatitis/peritonitis,Conditions,Whole,8,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Cellulitis,Conditions,Whole,11,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Ascites/Oedema,Conditions,Whole,16,
6790,5011,2 SISTERS FOOD GROUP LTD,Producer: 24/651/0064 Drinsey Nook Farm,Poultry,Broilers,689270,2016-02-15,2016-02-15,2016-02-15,2016-02-15,5280,5280,5005,Complete,15/02/2016 09:20,1,20780,Free Range,Not > 33kg,Hubbard,Not Provided,56,1.64,3.22,Abnormal colour/fevered,Conditions,Whole,22,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,1,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Death other than slaughter (uncut/badly bled),Conditions,Whole,1,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Machine Damage,Conditions,Whole,1,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Joint Lesions,Conditions,Whole,2,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Ascites/Oedema,Conditions,Whole,4,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Emaciation,Conditions,Whole,4,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Abnormal colour/fevered,Conditions,Whole,6,
6792,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/253/0074 w H Irwin: Bridge (Bacton),Poultry,Broilers,689273,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4700,4960,4960,Complete,15/02/2016 07:18,1,4700,Free Range,Not provided,Hubbard,Not Provided,56,,0.87,Cellulitis,Conditions,Whole,8,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Bruising/Fractures,Conditions,Whole,1,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Emaciation,Conditions,Whole,1,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Hepatitis,Conditions,Whole,1,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Machine Damage,Conditions,Whole,2,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Abnormal colour/fevered,Conditions,Whole,10,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Cellulitis,Conditions,Whole,10,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,"Other farm (Jaundice, Oregon, white muscle, congen",Conditions,Whole,11,
6794,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689274,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4487,Complete,15/02/2016 07:17,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Ascites/Oedema,Conditions,Whole,47,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Bruising/Fractures,Conditions,Whole,1,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Cellulitis,Conditions,Whole,1,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Machine Damage,Conditions,Whole,3,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,5,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Abnormal colour/fevered,Conditions,Whole,7,
6795,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689275,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4617,Complete,15/02/2016 07:19,4,13530,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,3,3.99,Ascites/Oedema,Conditions,Whole,33,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Bruising/Fractures,Conditions,Whole,2,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Machine Damage,Conditions,Whole,2,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,3,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,"Other farm (Jaundice, Oregon, white muscle, congen",Conditions,Whole,3,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Perihepatitis/peritonitis,Conditions,Whole,4,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Abnormal colour/fevered,Conditions,Whole,14,
6797,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689276,2016-02-15,2016-02-15,2016-02-15,2016-02-15,4752,4752,4405,Complete,15/02/2016 09:18,"4, 6",,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,,0,Ascites/Oedema,Conditions,Whole,57,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,Machine Damage,Conditions,Whole,1,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,Dead on Arrival/Death in the lairage (DOA),Conditions,Whole,4,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,Cellulitis,Conditions,Whole,9,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,"Other farm (Jaundice, Oregon, white muscle, congen",Conditions,Whole,12,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,Abnormal colour/fevered,Conditions,Whole,14,
6798,5011,2 SISTERS FOOD GROUP LTD,Producer: 13/064/0055 Vion: Leighams Lane,Poultry,Broilers,689277,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3644,3644,3206,Complete,15/02/2016 09:19,6,5390,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,38,2.57,3.6,Ascites/Oedema,Conditions,Whole,49,
6800,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/043/0065 Hook2Sisters: Peasenhall,Poultry,Broilers,689278,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3960,3960,3817,Complete,15/02/2016 10:06,3,7700,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,41,2.37,4.94,Bruising/Fractures,Conditions,Whole,2,
6800,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/043/0065 Hook2Sisters: Peasenhall,Poultry,Broilers,689278,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3960,3960,3817,Complete,15/02/2016 10:06,3,7700,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,41,2.37,4.94,"Other farm (Jaundice, Oregon, white muscle, congen",Conditions,Whole,2,
6800,5011,2 SISTERS FOOD GROUP LTD,Producer: 38/043/0065 Hook2Sisters: Peasenhall,Poultry,Broilers,689278,2016-02-15,2016-02-15,2016-02-15,2016-02-15,3960,3960,3817,Complete,15/02/2016 10:06,3,7700,Intensive Indoor,> 33kg but not > 39kg,Ross,Not Provided,41,2.37,4.94,Cellulitis,Conditions,Whole,3,
